MedInc,HouseAge,AveRooms,AveOccup,Latitude,Longitude,MedHouseVal
3.7,35,5.6,2.9,36.2,-121.03,1.5
6.3,11,5.9,2.6,38.16,-119.94,3.0
5.3,21,6.1,2.7,38.17,-121.84,2.6
4.7,24,4.3,3.7,37.7,-120.25,2.4
2.7,33,5.3,3.8,36.32,-118.5,2.2
2.7,8,4.8,2.0,37.31,-116.72,3.0
2.3,34,6.8,2.3,36.56,-116.44,2.7
5.9,9,5.6,3.3,35.94,-115.86,3.1
4.7,27,7.4,2.6,33.27,-116.69,3.3
5.2,11,5.4,2.4,37.37,-117.35,2.7
2.1,17,6.9,2.4,37.42,-122.01,3.5
6.4,19,6.8,2.5,36.26,-120.3,2.6
5.7,15,4.5,3.7,37.42,-119.48,2.7
3.0,33,5.8,2.1,36.41,-123.63,2.5
2.8,8,6.4,3.4,33.74,-118.95,1.5
2.8,17,7.0,3.0,34.14,-119.92,2.9
3.4,11,5.1,2.5,33.79,-116.08,2.5
4.4,31,4.8,2.7,34.76,-114.23,2.3
3.9,23,6.5,2.4,32.73,-118.66,3.3
3.3,26,6.8,3.1,36.21,-121.11,2.0
4.8,32,5.2,2.0,34.52,-124.04,2.5
2.6,6,4.3,1.8,36.43,-114.79,2.8
3.3,14,7.3,3.2,34.81,-114.85,3.1
3.6,17,5.4,2.2,36.59,-121.84,2.3
4.1,34,5.8,2.0,34.54,-117.2,3.2
5.5,29,6.9,2.7,34.06,-123.71,3.0
2.9,25,6.4,1.9,35.48,-122.75,1.4
4.3,10,6.6,3.8,36.66,-122.22,1.4
4.7,32,4.7,1.9,34.59,-121.41,2.7
2.2,32,5.9,3.1,38.12,-114.04,2.1
4.7,16,6.4,2.8,32.74,-117.18,1.8
2.8,16,4.8,3.3,35.01,-120.47,2.6
2.3,24,4.6,2.5,38.31,-116.76,2.1
6.3,34,7.4,2.1,35.79,-114.89,2.5
6.3,34,5.8,4.0,35.04,-114.43,2.3
5.6,15,4.9,3.6,35.91,-123.89,2.6
3.4,30,7.5,3.7,35.96,-120.36,2.2
2.4,27,7.4,2.4,36.89,-123.38,2.8
5.1,32,6.0,1.9,33.27,-120.98,1.7
4.0,29,7.1,2.5,34.0,-122.72,2.8
2.5,11,4.7,3.0,35.98,-117.71,2.2
4.2,34,5.0,2.5,37.7,-120.42,3.2
2.2,5,6.5,3.6,35.87,-122.09,2.4
6.1,5,7.0,2.4,33.93,-121.71,3.4
3.2,29,7.0,3.9,36.58,-120.72,2.6
5.0,31,5.4,2.8,36.94,-121.77,1.8
3.4,34,7.1,3.7,33.93,-119.74,3.1
4.3,29,7.0,2.2,34.77,-124.16,2.1
4.5,24,7.3,2.7,35.71,-121.56,2.1
2.8,17,6.7,3.3,35.48,-120.18,1.4
6.4,13,6.3,2.1,34.84,-118.17,2.5
5.5,7,6.0,2.1,34.29,-121.65,2.5
6.2,11,5.3,3.9,33.1,-123.1,2.1
6.0,10,7.3,3.4,32.82,-123.7,3.3
4.7,12,7.4,1.9,38.25,-114.62,1.6
6.1,31,5.0,2.7,37.58,-120.13,2.0
2.4,13,5.1,2.8,34.63,-118.4,2.0
2.9,34,5.7,3.4,38.24,-114.85,1.5
2.2,9,5.6,2.4,36.56,-123.63,2.4
3.5,5,7.5,2.2,35.4,-115.3,2.8
3.7,23,4.6,2.0,35.46,-118.71,2.4
3.2,14,4.1,2.7,33.0,-122.77,1.6
5.7,16,5.7,3.3,33.05,-120.18,2.1
3.6,28,4.6,1.9,36.11,-116.34,1.3
3.3,19,5.3,3.8,35.82,-119.46,3.2
4.4,31,6.6,2.8,33.78,-114.15,1.5
2.6,26,6.5,2.3,38.18,-120.54,2.6
5.6,28,5.1,2.0,37.19,-116.63,3.5
2.3,13,5.9,2.2,33.18,-120.37,2.5
6.4,24,5.8,3.9,38.09,-115.79,3.3
5.5,21,6.2,3.2,38.35,-118.52,1.8
2.9,34,4.9,2.9,38.48,-123.83,3.0
2.0,21,6.1,3.2,32.84,-124.11,2.5
5.7,30,7.4,2.8,36.92,-123.09,2.9
5.2,24,5.7,3.4,35.78,-124.36,1.4
5.3,16,7.2,1.9,36.73,-123.71,1.6
5.5,34,5.5,3.0,38.31,-117.24,1.6
2.3,11,5.2,2.1,36.63,-118.89,2.8
3.6,6,6.3,2.1,37.52,-116.63,3.2
2.5,7,6.3,2.6,37.7,-114.91,2.9
5.9,21,7.0,2.0,37.53,-118.36,1.4
4.8,9,4.8,2.0,35.06,-116.88,3.2
3.5,21,5.7,2.5,33.84,-116.55,2.1
2.3,28,6.0,4.0,34.88,-120.53,2.2
3.4,21,6.7,2.2,37.85,-121.97,1.5
3.5,31,4.2,1.8,33.38,-122.35,2.9
5.3,21,7.5,3.5,35.58,-121.86,1.7
4.9,6,5.6,3.6,33.9,-121.62,2.5
6.0,6,5.0,2.6,35.99,-122.32,3.1
4.1,32,7.1,2.8,37.68,-115.28,1.5
2.5,26,6.6,3.2,37.78,-116.55,2.5
5.2,27,7.3,1.9,33.92,-124.01,1.8
5.4,9,5.2,3.9,37.95,-121.68,2.1
4.5,5,5.9,3.8,36.05,-124.27,2.3
5.5,5,6.0,2.4,34.6,-119.27,2.1
4.2,23,7.4,1.8,36.75,-119.5,2.7
4.4,34,4.3,3.9,35.39,-115.77,2.4
3.9,6,5.1,2.9,34.77,-121.27,2.6
2.1,25,4.7,3.0,36.73,-115.93,2.9
2.5,16,4.9,3.3,33.99,-114.34,2.5
