Student ID,Course,Grade
1.0,Math,F
1.0,Science,C
1.0,History,A
1.0,English,F
1.0,Physical Education,C
2.0,Math,F
2.0,Science,A
2.0,History,B
2.0,English,C
2.0,Physical Education,A
3.0,Math,F
3.0,Science,A
3.0,History,A
3.0,English,A
3.0,Physical Education,C
4.0,Math,D
4.0,Science,B
4.0,History,F
4.0,English,D
4.0,Physical Education,B
5.0,Math,C
5.0,Science,C
5.0,History,C
5.0,English,A
5.0,Physical Education,C
6.0,Math,A
6.0,Science,C
6.0,History,C
6.0,English,C
6.0,Physical Education,F
7.0,Math,D
7.0,Science,F
7.0,History,A
7.0,English,D
7.0,Physical Education,B
8.0,Math,F
8.0,Science,F
8.0,History,A
8.0,English,C
8.0,Physical Education,B
9.0,Math,A
9.0,Science,C
9.0,History,D
9.0,English,F
9.0,Physical Education,B
10.0,Math,F
10.0,Science,A
10.0,History,B
10.0,English,F
10.0,Physical Education,F
11.0,Math,C
11.0,Science,C
11.0,History,B
11.0,English,B
11.0,Physical Education,D
12.0,Math,F
12.0,Science,B
12.0,History,A
12.0,English,D
12.0,Physical Education,B
13.0,Math,A
13.0,Science,B
13.0,History,C
13.0,English,A
13.0,Physical Education,C
14.0,Math,C
14.0,Science,A
14.0,History,A
14.0,English,A
14.0,Physical Education,F
15.0,Math,B
15.0,Science,C
15.0,History,A
15.0,English,F
15.0,Physical Education,B
16.0,Math,D
16.0,Science,C
16.0,History,A
16.0,English,B
16.0,Physical Education,A
17.0,Math,F
17.0,Science,C
17.0,History,F
17.0,English,A
17.0,Physical Education,C
18.0,Math,C
18.0,Science,D
18.0,History,B
18.0,English,D
18.0,Physical Education,F
19.0,Math,B
19.0,Science,D
19.0,History,D
19.0,English,C
19.0,Physical Education,A
20.0,Math,D
20.0,Science,F
20.0,History,D
20.0,English,A
20.0,Physical Education,F
21.0,Math,A
21.0,Science,A
21.0,History,A
21.0,English,A
21.0,Physical Education,F
22.0,Math,A
22.0,Science,C
22.0,History,F
22.0,English,F
22.0,Physical Education,D
23.0,Math,C
23.0,Science,F
23.0,History,B
23.0,English,C
23.0,Physical Education,D
24.0,Math,A
24.0,Science,F
24.0,History,D
24.0,English,A
24.0,Physical Education,A
25.0,Math,F
25.0,Science,B
25.0,History,A
25.0,English,C
25.0,Physical Education,F
26.0,Math,A
26.0,Science,A
26.0,History,B
26.0,English,A
26.0,Physical Education,A
27.0,Math,A
27.0,Science,A
27.0,History,D
27.0,English,F
27.0,Physical Education,C
28.0,Math,A
28.0,Science,A
28.0,History,D
28.0,English,B
28.0,Physical Education,F
29.0,Math,A
29.0,Science,B
29.0,History,A
29.0,English,C
29.0,Physical Education,C
30.0,Math,A
30.0,Science,D
30.0,History,C
30.0,English,B
30.0,Physical Education,F
31.0,Math,A
31.0,Science,F
31.0,History,B
31.0,English,F
31.0,Physical Education,D
32.0,Math,A
32.0,Science,D
32.0,History,D
32.0,English,F
32.0,Physical Education,C
33.0,Math,D
33.0,Science,A
33.0,History,F
33.0,English,D
33.0,Physical Education,C
34.0,Math,D
34.0,Science,B
34.0,History,C
34.0,English,D
34.0,Physical Education,C
35.0,Math,F
35.0,Science,D
35.0,History,C
35.0,English,D
35.0,Physical Education,F
36.0,Math,D
36.0,Science,F
36.0,History,D
36.0,English,A
36.0,Physical Education,C
37.0,Math,F
37.0,Science,A
37.0,History,A
37.0,English,A
37.0,Physical Education,B
38.0,Math,D
38.0,Science,D
38.0,History,D
38.0,English,C
38.0,,B
39.0,Math,B
39.0,Science,D
39.0,History,A
39.0,English,C
39.0,Physical Education,A
40.0,Math,B
40.0,Science,B
40.0,History,F
40.0,English,B
40.0,Physical Education,D
41.0,Math,D
41.0,Science,B
41.0,History,C
41.0,English,A
41.0,Physical Education,C
42.0,Math,D
42.0,Science,C
42.0,History,B
42.0,English,C
42.0,Physical Education,F
43.0,Math,F
43.0,Science,A
43.0,History,D
43.0,English,A
43.0,Physical Education,C
44.0,Math,D
44.0,Science,A
44.0,History,D
44.0,English,C
44.0,Physical Education,D
45.0,Math,F
45.0,Science,F
45.0,History,F
45.0,English,D
45.0,Physical Education,C
46.0,Math,D
46.0,Science,B
46.0,History,C
46.0,English,C
46.0,Physical Education,F
47.0,Math,B
47.0,Science,D
47.0,History,B
47.0,English,C
47.0,Physical Education,F
48.0,Math,C
48.0,Science,B
48.0,History,B
48.0,English,B
48.0,Physical Education,B
49.0,Math,D
49.0,Science,C
49.0,History,D
49.0,English,B
49.0,Physical Education,A
50.0,Math,F
50.0,Science,C
50.0,History,B
50.0,English,D
50.0,Physical Education,F
51.0,Math,F
51.0,Science,A
51.0,History,A
51.0,English,C
51.0,Physical Education,C
52.0,Math,C
52.0,Science,C
52.0,History,D
52.0,English,F
52.0,Physical Education,A
53.0,Math,D
53.0,Science,D
53.0,History,F
53.0,English,A
53.0,Physical Education,D
54.0,Math,A
54.0,Science,F
54.0,History,F
54.0,English,A
54.0,Physical Education,A
55.0,Math,B
55.0,Science,A
55.0,History,D
55.0,English,A
55.0,Physical Education,B
56.0,Math,D
56.0,Science,A
56.0,History,F
56.0,English,D
56.0,Physical Education,B
57.0,Math,C
57.0,Science,F
57.0,History,A
57.0,English,B
57.0,Physical Education,B
58.0,Math,D
58.0,Science,B
58.0,History,F
58.0,English,F
58.0,Physical Education,C
59.0,Math,A
59.0,Science,A
59.0,History,D
59.0,English,F
59.0,Physical Education,A
60.0,Math,F
60.0,Science,C
60.0,History,B
60.0,English,D
60.0,Physical Education,D
61.0,Math,C
61.0,Science,D
61.0,History,D
61.0,English,C
61.0,Physical Education,B
62.0,Math,A
62.0,Science,F
62.0,History,C
62.0,English,D
62.0,Physical Education,F
63.0,Math,D
63.0,Science,D
63.0,History,C
63.0,English,B
63.0,Physical Education,A
64.0,Math,F
64.0,Science,D
64.0,History,B
64.0,English,D
64.0,Physical Education,F
65.0,Math,F
65.0,Science,C
65.0,History,A
65.0,English,D
65.0,Physical Education,D
66.0,Math,A
66.0,Science,C
66.0,History,F
66.0,English,C
66.0,Physical Education,D
67.0,Math,F
67.0,Science,B
67.0,History,A
67.0,English,B
67.0,Physical Education,D
68.0,Math,C
68.0,Science,A
68.0,History,F
68.0,English,A
68.0,Physical Education,C
69.0,Math,D
69.0,Science,F
69.0,History,C
69.0,English,B
69.0,Physical Education,A
70.0,Math,A
70.0,Science,C
70.0,History,C
70.0,English,B
70.0,Physical Education,A
71.0,Math,B
71.0,Science,D
71.0,History,F
71.0,English,B
71.0,Physical Education,F
72.0,Math,C
72.0,Science,A
72.0,History,B
72.0,English,F
72.0,Physical Education,D
73.0,Math,B
73.0,Science,C
73.0,History,A
73.0,English,C
73.0,Physical Education,F
74.0,Math,C
74.0,Science,F
74.0,History,C
74.0,English,C
74.0,Physical Education,D
75.0,Math,C
75.0,Science,B
75.0,History,D
75.0,English,D
75.0,Physical Education,C
76.0,Math,A
76.0,Science,A
76.0,History,D
76.0,English,A
76.0,Physical Education,F
77.0,Math,D
77.0,Science,D
77.0,History,D
77.0,English,C
77.0,Physical Education,A
78.0,Math,A
78.0,Science,A
78.0,History,D
78.0,English,B
78.0,Physical Education,F
79.0,Math,C
79.0,Science,B
79.0,History,A
79.0,English,A
79.0,Physical Education,F
80.0,Math,A
80.0,Science,C
80.0,History,B
80.0,English,D
80.0,Physical Education,C
81.0,Math,B
81.0,Science,A
81.0,History,B
81.0,English,F
81.0,Physical Education,C
82.0,Math,C
82.0,Science,F
82.0,History,C
82.0,English,C
82.0,Physical Education,F
83.0,Math,F
83.0,Science,D
83.0,History,C
83.0,English,A
83.0,Physical Education,B
84.0,Math,F
84.0,Science,B
84.0,History,A
84.0,English,F
84.0,Physical Education,A
85.0,Math,B
85.0,Science,A
85.0,History,D
85.0,English,F
85.0,Physical Education,A
86.0,Math,A
86.0,Science,B
86.0,History,F
86.0,English,C
86.0,Physical Education,A
87.0,Math,C
87.0,Science,B
87.0,History,F
87.0,English,D
87.0,Physical Education,D
88.0,Math,D
88.0,Science,A
88.0,History,D
88.0,English,C
88.0,Physical Education,B
89.0,Math,B
89.0,Science,F
89.0,History,F
89.0,English,F
89.0,Physical Education,F
90.0,Math,D
90.0,Science,B
90.0,History,D
90.0,English,D
90.0,Physical Education,A
91.0,Math,A
91.0,Science,D
91.0,History,D
91.0,English,A
91.0,Physical Education,C
92.0,Math,C
92.0,Science,A
92.0,History,B
92.0,English,A
92.0,Physical Education,D
93.0,Math,D
93.0,Science,A
93.0,History,B
93.0,English,B
93.0,Physical Education,D
94.0,Math,C
94.0,Science,F
94.0,History,B
94.0,English,F
94.0,Physical Education,D
95.0,Math,A
95.0,Science,D
95.0,History,B
95.0,English,F
95.0,Physical Education,D
96.0,Math,F
96.0,Science,F
96.0,History,B
96.0,English,F
